Nombre,ID Partido,Partido,Resultados
Pancho Zarauza,M089,Alemania-Francia,2-3
Pancho Zarauza,M090,Bosnia y Herzegovina-Japón,0-3
Pancho Zarauza,M091,Brasil-Senegal,0-0
Pancho Zarauza,M092,Escocia-Inglaterra,0-1
Pancho Zarauza,M093,Ghana-España,0-2
Pancho Zarauza,M094,Estados Unidos-Egipto,1-1
Pancho Zarauza,M095,Argentina-Bélgica,1-2
Pancho Zarauza,M096,Austria-Portugal,0-2
001 Psv,M089,Alemania-Suecia,2-1
001 Psv,M090,Chequia-Países Bajos,1-3
001 Psv,M091,Brasil-Costa de Marfil,2-0
001 Psv,M092,Marruecos-Inglaterra,1-1
001 Psv,M093,Colombia-España,1-2
001 Psv,M094,Suiza-Bélgica,1-1
001 Psv,M095,Argentina-Estados Unidos,2-0
001 Psv,M096,Bosnia y Herzegovina-Portugal,0-1
002 Jfrm,M089,Países Bajos-Noruega,1-3
002 Jfrm,M090,Canadá-Alemania,1-2
002 Jfrm,M091,Marruecos-Francia,1-1
002 Jfrm,M092,México-Senegal,1-2
002 Jfrm,M093,España-Colombia,2-1
002 Jfrm,M094,Ecuador-Estados Unidos,1-1
002 Jfrm,M095,Turquía-Portugal,1-3
002 Jfrm,M096,Bosnia y Herzegovina-Argentina,0-1
003 Psv1,M089,Alemania-Noruega,1-2
003 Psv1,M090,Suiza-Marruecos,0-0
003 Psv1,M091,Brasil-Francia,1-1
003 Psv1,M092,Escocia-Inglaterra,1-1
003 Psv1,M093,Colombia-España,1-1
003 Psv1,M094,Turquía-Bélgica,1-2
003 Psv1,M095,Uruguay-Estados Unidos,1-1
003 Psv1,M096,Argelia-Portugal,0-2
004 Nvr,M089,Brasil-Ecuador,1-2
004 Nvr,M090,Chequia-Alemania,3-1
004 Nvr,M091,Marruecos-Francia,2-3
004 Nvr,M092,Costa de Marfil-Inglaterra,1-3
004 Nvr,M093,Uruguay-Croacia,2-2
004 Nvr,M094,México-Estados Unidos,2-2
004 Nvr,M095,Turquía-Colombia,1-1
004 Nvr,M096,Suiza-España,2-2
005 Jlmr,M089,Brasil-Noruega,0-2
005 Jlmr,M090,Sudáfrica-Alemania,2-1
005 Jlmr,M091,Marruecos-Francia,0-2
005 Jlmr,M092,Chequia-Inglaterra,1-3
005 Jlmr,M093,España-Colombia,2-1
005 Jlmr,M094,Bélgica-Turquía,1-1
005 Jlmr,M095,Egipto-Portugal,0-3
005 Jlmr,M096,Bosnia y Herzegovina-Argentina,1-4
1,M089,Alemania-Francia,1-2
1,M090,Sudáfrica-Marruecos,0-1
1,M091,Brasil-Noruega,2-1
1,M092,México-Inglaterra,1-3
1,M093,Croacia-Uruguay,1-3
1,M094,Estados Unidos-Bélgica,1-0
1,M095,Argentina-Turquía,1-2
1,M096,Canadá-Portugal,1-4
3P,M089,Costa de Marfil-Francia,2-1
3P,M090,Canadá-Marruecos,1-2
3P,M091,Brasil-Noruega,3-1
3P,M092,Chequia-Inglaterra,0-2
3P,M093,Colombia-Uruguay,1-2
3P,M094,Estados Unidos-Bélgica,1-3
3P,M095,Argentina-Turquía,2-0
3P,M096,Suiza-Portugal,0-2
Acp,M089,Alemania-Francia,1-2
Acp,M090,Bosnia y Herzegovina-Brasil,0-2
Acp,M091,Países Bajos-Noruega,1-1
Acp,M092,Escocia-Inglaterra,0-3
Acp,M093,Croacia-España,0-2
Acp,M094,Estados Unidos-Egipto,0-2
Acp,M095,Argentina-Bélgica,2-0
Acp,M096,Suiza-Portugal,0-3
Alberti 73,M089,Alemania-Francia,1-2
Alberti 73,M090,Sudáfrica-Países Bajos,0-3
Alberti 73,M091,Brasil-Ecuador,2-0
Alberti 73,M092,Chequia-Inglaterra,0-2
Alberti 73,M093,Colombia-España,1-2
Alberti 73,M094,Estados Unidos-Bélgica,1-2
Alberti 73,M095,Argentina-Turquía,3-1
Alberti 73,M096,Suiza-Portugal,1-1
Alberto Cabezas,M089,Alemania-Noruega,2-0
Alberto Cabezas,M090,Chequia-Marruecos,1-2
Alberto Cabezas,M091,Brasil-Francia,1-3
Alberto Cabezas,M092,México-Inglaterra,1-2
Alberto Cabezas,M093,Croacia-Uruguay,0-1
Alberto Cabezas,M094,Suiza-Bélgica,0-3
Alberto Cabezas,M095,España-Turquía,4-0
Alberto Cabezas,M096,Egipto-Colombia,0-2
Alexs,M089,Alemania-Francia,2-3
Alexs,M090,Chequia-Países Bajos,0-1
Alexs,M091,Brasil-Ecuador,1-2
Alexs,M092,México-Inglaterra,0-1
Alexs,M093,Colombia-España,1-2
Alexs,M094,Turquía-Bélgica,0-1
Alexs,M095,Argentina-Paraguay,2-1
Alexs,M096,Suiza-Portugal,1-2
Alfonsolopezhernandez,M089,Alemania-Francia,1-3
